120.00	-6.9	46.68125	7	
120.01	-6.9	46.68125	7	
120.02	-6.9	46.68125	7	
120.03	-6.9	46.68125	7	
120.04	-6.9	46.68125	7	
120.05	-6.9	46.75	7	
120.06	-6.9	46.75	7	
120.07	-6.9	46.81875	7	
120.08	-6.8	46.81875	7	
120.09	-6.8	46.68125	7	
120.10	-6.8	46.68125	7	
120.11	-6.8	46.54375	7	
120.12	-6.8	46.54375	7	
120.13	-6.8	46.54375	7	
120.14	-6.8	46.54375	7	
120.15	-6.7	46.68125	7	
120.16	-6.8	46.68125	7	
120.17	-6.8	46.75	7	
120.18	-6.8	46.75	7	
120.19	-6.8	46.75	7	
120.20	-6.7	46.75	7	
120.21	-6.7	46.75	7	
120.22	-6.7	46.75	7	
120.23	-6.8	46.75	7	
120.24	-6.7	46.75	7	
120.25	-6.8	46.68125	7	
120.26	-6.7	46.68125	7	
120.27	-6.7	46.68125	7	
120.28	-6.7	46.68125	7	
120.29	-6.7	46.6125	7	
120.30	-6.6	46.6125	7	
120.31	-6.6	46.75	7	
120.32	-6.6	46.75	7	
120.33	-6.6	46.75	7	
120.34	-6.5	46.75	7	
120.35	-6.5	46.81875	7	
120.36	-6.5	46.81875	7	
120.37	-6.5	46.81875	7	
120.38	-6.5	46.81875	7	
120.39	-6.4	46.8875	7	
120.40	-6.4	46.8875	7	
120.41	-6.3	46.8875	10	
120.42	-6.3	46.8875	10	
120.43	-6.2	46.8875	10	
120.44	-6.2	46.8875	10	
120.45	-6.1	46.81875	10	
120.46	-6	46.81875	10	
120.47	-6	46.75	10	
120.48	-5.9	46.75	10	
120.49	-5.8	46.95625	10	
120.50	-5.8	46.95625	10	
120.51	-5.8	46.8875	11	
120.52	-5.8	46.8875	11	
120.53	-5.8	46.81875	11	
120.54	-5.7	46.81875	11	
120.55	-5.7	46.81875	11	
120.56	-5.7	46.81875	11	
120.57	-5.7	46.95625	11	
120.58	-5.7	46.95625	11	
120.59	-5.7	47.025	11	
120.60	-5.7	47.025	11	
120.61	-5.7	47.025	11	
120.62	-5.7	47.025	11	
120.63	-5.7	46.75	11	
120.64	-5.6	46.75	11	
120.65	-5.6	46.81875	11	
120.66	-5.5	46.81875	11	
120.67	-5.5	46.8875	11	
120.68	-5.4	46.8875	11	
120.69	-5.4	46.8875	11	
120.70	-5.4	46.8875	11	
120.71	-5.4	46.95625	11	
120.72	-5.3	46.95625	11	
120.73	-5.2	47.025	11	
120.74	-5.1	47.025	11	
120.75	-5.1	47.09375	11	
120.76	-5	47.09375	11	
120.77	-4.9	47.025	11	
120.78	-4.8	47.025	11	
120.79	-4.8	47.025	11	
120.80	-4.7	47.025	11	
120.81	-4.6	46.95625	10	
120.82	-4.6	46.95625	10	
120.83	-4.5	47.025	10	
120.84	-4.5	47.025	10	
120.85	-4.5	47.025	10	
120.86	-4.5	47.025	10	
120.87	-4.5	47.025	10	
120.88	-4.5	47.025	10	
120.89	-4.5	47.025	10	
120.90	-4.5	47.025	10	
120.91	-4.5	47.025	10	
120.92	-4.5	47.025	10	
120.93	-4.5	47.1625	10	
120.94	-4.5	47.1625	10	
120.95	-4.5	47.09375	10	
120.96	-4.5	47.09375	10	
120.97	-4.5	46.95625	10	
120.98	-4.5	46.95625	10	
120.99	-4.5	46.95625	10	
121.00	-4.5	46.95625	10	
121.01	-4.5	47.025	4	
121.02	-4.5	47.025	4	
121.03	-4.5	47.025	4	
121.04	-4.5	47.025	4	
121.05	-4.5	47.025	4	
121.06	-4.5	47.025	4	
121.07	-4.5	47.09375	4	
121.08	-4.5	47.09375	4	
121.09	-4.6	47.09375	4	
121.10	-4.6	47.09375	4	
