126.00	-7.7	49.775	6	
126.01	-7.7	49.775	6	
126.02	-7.6	49.775	6	
126.03	-7.6	49.9125	6	
126.04	-7.6	49.9125	6	
126.05	-7.5	49.9125	6	
126.06	-7.5	49.9125	6	
126.07	-7.5	49.98125	6	
126.08	-7.5	49.98125	6	
126.09	-7.4	49.98125	6	
126.10	-7.4	49.98125	6	
126.11	-7.4	49.98125	6	
126.12	-7.4	49.98125	6	
126.13	-7.4	49.9125	6	
126.14	-7.4	49.9125	6	
126.15	-7.4	49.84375	6	
126.16	-7.4	49.84375	6	
126.17	-7.4	49.84375	6	
126.18	-7.4	49.84375	6	
126.19	-7.4	49.98125	6	
126.20	-7.4	49.98125	6	
126.21	-7.4	50.05	6	
126.22	-7.4	50.05	6	
126.23	-7.4	50.11875	6	
126.24	-7.4	50.11875	6	
126.25	-7.4	50.11875	6	
126.26	-7.4	50.11875	6	
126.27	-7.4	50.11875	6	
126.28	-7.4	50.11875	6	
126.29	-7.4	49.98125	6	
126.30	-7.4	49.98125	6	
126.31	-7.4	49.98125	6	
126.32	-7.4	49.98125	6	
126.33	-7.4	50.05	6	
126.34	-7.4	50.05	6	
126.35	-7.4	50.11875	6	
126.36	-7.4	50.11875	6	
126.37	-7.4	50.11875	6	
126.38	-7.4	50.11875	6	
126.39	-7.4	50.11875	6	
126.40	-7.3	50.11875	6	
126.41	-7.3	50.25625	6	
126.42	-7.3	50.25625	6	
126.43	-7.3	50.1875	6	
126.44	-7.3	50.1875	6	
126.45	-7.3	50.11875	6	
126.46	-7.2	50.11875	6	
126.47	-7.2	50.11875	6	
126.48	-7.2	50.11875	6	
126.49	-7.2	50.11875	6	
126.50	-7.1	50.11875	6	
126.51	-7.1	50.25625	6	
126.52	-7.1	50.25625	6	
126.53	-7.1	50.1875	6	
126.54	-7.1	50.1875	6	
126.55	-7.1	50.325	6	
126.56	-7.1	50.325	6	
126.57	-7.1	50.25625	6	
126.58	-7	50.25625	6	
126.59	-7	50.325	6	
126.60	-6.9	50.325	6	
126.61	-6.9	50.25625	6	
126.62	-6.9	50.25625	6	
126.63	-6.9	50.1875	6	
126.64	-6.8	50.1875	6	
126.65	-6.8	50.25625	6	
126.66	-6.8	50.25625	6	
126.67	-6.8	50.39375	6	
126.68	-6.8	50.39375	6	
126.69	-6.8	50.4625	6	
126.70	-6.8	50.4625	6	
126.71	-6.8	50.6	11	
126.72	-6.7	50.6	11	
126.73	-6.7	50.53125	11	
126.74	-6.7	50.53125	11	
126.75	-6.7	50.6	11	
126.76	-6.7	50.6	11	
126.77	-6.7	50.6	11	
126.78	-6.6	50.6	11	
126.79	-6.6	50.6	11	
126.80	-6.6	50.6	11	
126.81	-6.6	50.66875	12	
126.82	-6.6	50.66875	12	
126.83	-6.6	50.80625	12	
126.84	-6.6	50.80625	12	
126.85	-6.6	50.875	12	
126.86	-6.6	50.875	12	
126.87	-6.6	50.875	12	
126.88	-6.6	50.875	12	
126.89	-6.6	50.875	12	
126.90	-6.6	50.875	12	
126.91	-6.6	50.875	12	
126.92	-6.6	50.875	12	
126.93	-6.6	50.875	12	
126.94	-6.6	50.875	12	
126.95	-6.6	50.80625	12	
126.96	-6.6	50.80625	12	
126.97	-6.6	50.7375	12	
126.98	-6.6	50.7375	12	
126.99	-6.6	51.0125	12	
127.00	-6.6	51.0125	12	
127.01	-6.6	51.0125	12	
127.02	-6.6	51.0125	12	
127.03	-6.6	51.0125	12	
127.04	-6.6	51.0125	12	
127.05	-6.6	51.0125	12	
127.06	-6.6	51.0125	12	
127.07	-6.6	51.0125	12	
127.08	-6.6	51.0125	12	
127.09	-6.6	51.0125	12	
127.10	-6.6	51.0125	12	
127.11	-6.6	51.0125	12	
127.12	-6.6	51.0125	12	
127.13	-6.6	51.0125	12	
127.14	-6.6	51.0125	12	
127.15	-6.6	51.15	12	
127.16	-6.6	51.15	12	
127.17	-6.6	51.21875	12	
127.18	-6.6	51.21875	12	
127.19	-6.6	51.35625	12	
127.20	-6.6	51.35625	12	
127.21	-6.6	51.35625	12	
127.22	-6.6	51.35625	12	
127.23	-6.6	51.35625	12	
127.24	-6.6	51.35625	12	
127.25	-6.6	51.35625	12	
127.26	-6.6	51.35625	12	
127.27	-6.6	51.35625	12	
127.28	-6.6	51.35625	12	
127.29	-6.6	51.35625	12	
127.30	-6.6	51.35625	12	
127.31	-6.6	51.49375	12	
127.32	-6.6	51.49375	12	
127.33	-6.6	51.5625	12	
127.34	-6.6	51.5625	12	
127.35	-6.6	51.63125	12	
127.36	-6.6	51.63125	12	
127.37	-6.6	51.63125	12	
127.38	-6.6	51.63125	12	
127.39	-6.6	51.63125	12	
127.40	-6.6	51.63125	12	
127.41	-6.6	51.5625	12	
127.42	-6.6	51.5625	12	
127.43	-6.6	51.49375	12	
127.44	-6.6	51.49375	12	
127.45	-6.6	51.63125	12	
127.46	-6.6	51.63125	12	
127.47	-6.6	51.7	12	
